"filename", "language", "CMake", "C++", "HTML", "JSON", "Markdown", "YAML", "Dart", "Swift", "JavaScript", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\aa048\test_pro\lib\controller\category_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 7, 52
"c:\Users\aa048\test_pro\lib\controller\company_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 7, 49
"c:\Users\aa048\test_pro\lib\controller\favorites_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 55
"c:\Users\aa048\test_pro\lib\controller\image_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 2, 22
"c:\Users\aa048\test_pro\lib\controller\local_notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 7, 44
"c:\Users\aa048\test_pro\lib\controller\notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 12, 8, 81
"c:\Users\aa048\test_pro\lib\controller\order_status_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\aa048\test_pro\lib\controller\product_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 10, 19, 159
"c:\Users\aa048\test_pro\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 12, 4, 69
"c:\Users\aa048\test_pro\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 13, 93
"c:\Users\aa048\test_pro\lib\model\ad.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\aa048\test_pro\lib\model\carousel_ad.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\aa048\test_pro\lib\model\cart_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\aa048\test_pro\lib\model\categorys.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\aa048\test_pro\lib\model\company.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\aa048\test_pro\lib\model\product.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"c:\Users\aa048\test_pro\lib\model\userAccount.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"c:\Users\aa048\test_pro\lib\view\admin_dashboard\admin_bottom_nav_ui.dart", "Dart", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 12, 178
"c:\Users\aa048\test_pro\lib\view\admin_dashboard\dashboardUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 7, 280
"c:\Users\aa048\test_pro\lib\view\admin_view\addProductUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 613, 0, 0, 0, 0, 16, 45, 674
"c:\Users\aa048\test_pro\lib\view\admin_view\add_ad_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 23, 425
"c:\Users\aa048\test_pro\lib\view\admin_view\add_carousel_ad_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 13, 139
"c:\Users\aa048\test_pro\lib\view\admin_view\add_category_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 15, 245
"c:\Users\aa048\test_pro\lib\view\admin_view\add_company_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 12, 174
"c:\Users\aa048\test_pro\lib\view\admin_view\customer_orders_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 1, 20, 389
"c:\Users\aa048\test_pro\lib\view\admin_view\manage_ads_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 9, 241
"c:\Users\aa048\test_pro\lib\view\admin_view\manage_carousel_ads_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 94
"c:\Users\aa048\test_pro\lib\view\admin_view\manage_categories_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 11, 258
"c:\Users\aa048\test_pro\lib\view\admin_view\manage_companies_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 9, 211
"c:\Users\aa048\test_pro\lib\view\admin_view\manage_products_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 10, 236
"c:\Users\aa048\test_pro\lib\view\admin_view\order_details_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 494, 0, 0, 0, 0, 10, 38, 542
"c:\Users\aa048\test_pro\lib\view\bottomNavUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 12, 230
"c:\Users\aa048\test_pro\lib\view\cart_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 4, 15, 336
"c:\Users\aa048\test_pro\lib\view\categorysUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 3, 16, 268
"c:\Users\aa048\test_pro\lib\view\company_products_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 8, 94
"c:\Users\aa048\test_pro\lib\view\complete_profile_ui.dart", "Dart", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 2, 16, 282
"c:\Users\aa048\test_pro\lib\view\customer_order_details_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 657, 0, 0, 0, 0, 23, 46, 726
"c:\Users\aa048\test_pro\lib\view\favoritesUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 3, 9, 132
"c:\Users\aa048\test_pro\lib\view\homeScreenUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 7, 29, 316
"c:\Users\aa048\test_pro\lib\view\loginUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 517, 0, 0, 0, 0, 5, 29, 551
"c:\Users\aa048\test_pro\lib\view\my_orders_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 331, 0, 0, 0, 0, 0, 14, 345
"c:\Users\aa048\test_pro\lib\view\onboardingUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 24, 358
"c:\Users\aa048\test_pro\lib\view\otpUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 2, 7, 118
"c:\Users\aa048\test_pro\lib\view\profileUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 3, 12, 170
"c:\Users\aa048\test_pro\lib\view\signupUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 15, 326
"c:\Users\aa048\test_pro\lib\widgets\CategorySectionUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 4, 68
"c:\Users\aa048\test_pro\lib\widgets\ElegantToast.dart", "Dart", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 12, 125
"c:\Users\aa048\test_pro\lib\widgets\FormFields.dart", "Dart", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 4, 82
"c:\Users\aa048\test_pro\lib\widgets\SearchBar.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 1, 8, 90
"c:\Users\aa048\test_pro\lib\widgets\SectionTitle.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\aa048\test_pro\lib\widgets\SectionTitleNonSliver.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\aa048\test_pro\lib\widgets\backgroundUi.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\aa048\test_pro\lib\widgets\buttonsWidgets.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"c:\Users\aa048\test_pro\lib\widgets\corusalWidget.dart", "Dart", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 1, 8, 119
"c:\Users\aa048\test_pro\lib\widgets\custom_Header_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 63
"c:\Users\aa048\test_pro\lib\widgets\custom_admin_header.dart", "Dart", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 1, 6, 94
"c:\Users\aa048\test_pro\lib\widgets\customeBackG.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 9, 45
"c:\Users\aa048\test_pro\lib\widgets\elegant_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 5, 136
"c:\Users\aa048\test_pro\lib\widgets\infoWidget.dart", "Dart", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 4, 114
"c:\Users\aa048\test_pro\lib\widgets\loader.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\aa048\test_pro\lib\widgets\productDetails.dart", "Dart", 0, 0, 0, 0, 0, 0, 393, 0, 0, 0, 0, 25, 23, 441
"c:\Users\aa048\test_pro\lib\widgets\product_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 3, 13, 256
"c:\Users\aa048\test_pro\linux\CMakeLists.txt", "CMake", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\aa048\test_pro\linux\flutter\CMakeLists.txt", "CMake", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\aa048\test_pro\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"c:\Users\aa048\test_pro\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\aa048\test_pro\linux\flutter\generated_plugins.cmake", "CMake", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\aa048\test_pro\linux\runner\CMakeLists.txt", "CMake", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\aa048\test_pro\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\aa048\test_pro\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\aa048\test_pro\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\aa048\test_pro\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 4, 37
"c:\Users\aa048\test_pro\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\aa048\test_pro\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\aa048\test_pro\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
"c:\Users\aa048\test_pro\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\aa048\test_pro\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\aa048\test_pro\notification-sender\api\sendNotification.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 15, 13, 91
"c:\Users\aa048\test_pro\notification-sender\api\sendTopicNotification.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 9, 14, 111
"c:\Users\aa048\test_pro\notification-sender\package.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\aa048\test_pro\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 54, 20, 155
